DATE,STATE,CHANNEL,Average Sale,Difference in Sale,GAME
11/28/2015,Maryland,WHOLESALE CLUB,8915.903125,-1341.65,Away(2015)-Home(2014)
10/17/2015,Colorado,CONVENIENCE STORE,371.6876263,276.7,Away(2015)-Home(2014)
11/21/2015,Colorado,CONVENIENCE STORE,343.1937879,308.48,Away(2015)-Home(2014)
12/5/2015,Colorado,CONVENIENCE STORE,324.7012879,-74.05,Away(2015)-Home(2014)
10/17/2015,Colorado,DRUG STORE,1234.910799,-2351.33,Away(2015)-Home(2014)
11/21/2015,Colorado,DRUG STORE,1076.248056,-4797.26,Away(2015)-Home(2014)
12/5/2015,Colorado,DRUG STORE,1326.184445,7731.2,Away(2015)-Home(2014)
10/17/2015,Colorado,GROCERY,3503.424778,-12779.08,Away(2015)-Home(2014)
11/21/2015,Colorado,GROCERY,2480.653167,7323.17,Away(2015)-Home(2014)
12/5/2015,Colorado,GROCERY,2895.539945,-23474.47,Away(2015)-Home(2014)
10/17/2015,Colorado,MASS MERCHANDISER,797.2070076,-7905.85,Away(2015)-Home(2014)
11/21/2015,Colorado,MASS MERCHANDISER,640.7364015,-6858.43,Away(2015)-Home(2014)
12/5/2015,Colorado,MASS MERCHANDISER,903.4317803,-2283.13,Away(2015)-Home(2014)
10/17/2015,Colorado,CONVENIENCE STORE,568.4265,5658.05,Away(2015)-Home(2014)
11/21/2015,Colorado,CONVENIENCE STORE,479.3602619,7195.41,Away(2015)-Home(2014)
12/5/2015,Colorado,CONVENIENCE STORE,472.6220714,-1426.33,Away(2015)-Home(2014)
10/17/2015,Colorado,DRUG STORE,776.1452223,-779.14,Away(2015)-Home(2014)
11/21/2015,Colorado,DRUG STORE,680.6893889,-2717.65,Away(2015)-Home(2014)
12/5/2015,Colorado,DRUG STORE,1015.448833,-5286.07,Away(2015)-Home(2014)
10/17/2015,Colorado,GROCERY,1572.870088,13404.52,Away(2015)-Home(2014)
11/21/2015,Colorado,GROCERY,1174.16079,1814.34,Away(2015)-Home(2014)
12/5/2015,Colorado,GROCERY,1095.746492,6185.32,Away(2015)-Home(2014)
10/17/2015,Colorado,MASS MERCHANDISER,645.7731209,439.81,Away(2015)-Home(2014)
11/21/2015,Colorado,MASS MERCHANDISER,505.6740065,-11080.7,Away(2015)-Home(2014)
12/5/2015,Colorado,MASS MERCHANDISER,752.8425481,-18978.87,Away(2015)-Home(2014)
10/17/2015,Colorado,CONVENIENCE STORE,382.0641383,15853.08,Away(2015)-Home(2014)
11/21/2015,Colorado,CONVENIENCE STORE,345.2544319,17449.12,Away(2015)-Home(2014)
12/5/2015,Colorado,CONVENIENCE STORE,331.6576089,3440.79,Away(2015)-Home(2014)
10/17/2015,Colorado,DRUG STORE,997.6811871,19814.59,Away(2015)-Home(2014)
11/21/2015,Colorado,DRUG STORE,876.4017202,-8648.33,Away(2015)-Home(2014)
12/5/2015,Colorado,DRUG STORE,1174.951885,15363.38,Away(2015)-Home(2014)
10/17/2015,Colorado,GROCERY,3432.228363,-29662.58,Away(2015)-Home(2014)
11/21/2015,Colorado,GROCERY,2531.359445,-3717.48,Away(2015)-Home(2014)
12/5/2015,Colorado,GROCERY,3355.521521,-1834.84,Away(2015)-Home(2014)
10/17/2015,Colorado,MASS MERCHANDISER,1373.82438,-13797.8,Away(2015)-Home(2014)
11/21/2015,Colorado,MASS MERCHANDISER,1092.500097,-21943.89,Away(2015)-Home(2014)
12/5/2015,Colorado,MASS MERCHANDISER,1696.126958,-17046.57,Away(2015)-Home(2014)
10/17/2015,Colorado,CONVENIENCE STORE,575.522341,18551.71,Away(2015)-Home(2014)
11/21/2015,Colorado,CONVENIENCE STORE,484.7548409,18853.32,Away(2015)-Home(2014)
12/5/2015,Colorado,CONVENIENCE STORE,493.7083523,5447.97,Away(2015)-Home(2014)
10/17/2015,Colorado,DRUG STORE,1007.583229,4967.13,Away(2015)-Home(2014)
11/21/2015,Colorado,DRUG STORE,889.930625,-230.5,Away(2015)-Home(2014)
12/5/2015,Colorado,DRUG STORE,1302.317292,7617.16,Away(2015)-Home(2014)
10/17/2015,Colorado,GROCERY,1773.037604,-7460.75,Away(2015)-Home(2014)
11/21/2015,Colorado,GROCERY,1268.097188,1252.15,Away(2015)-Home(2014)
12/5/2015,Colorado,GROCERY,1353.065313,-16989.71,Away(2015)-Home(2014)
10/17/2015,Colorado,MASS MERCHANDISER,576.3159334,-1106.26,Away(2015)-Home(2014)
11/21/2015,Colorado,MASS MERCHANDISER,456.7497333,-1959.3,Away(2015)-Home(2014)
12/5/2015,Colorado,MASS MERCHANDISER,700.7638667,-8600.8,Away(2015)-Home(2014)
10/17/2015,Colorado,CONVENIENCE STORE,497.0176748,35230.72,Away(2015)-Home(2014)
11/21/2015,Colorado,CONVENIENCE STORE,442.2003427,14619.11,Away(2015)-Home(2014)
12/5/2015,Colorado,CONVENIENCE STORE,439.2542876,12468.16,Away(2015)-Home(2014)
10/17/2015,Colorado,DRUG STORE,1173.436667,17611.18,Away(2015)-Home(2014)
11/21/2015,Colorado,DRUG STORE,1014.963389,1341.69,Away(2015)-Home(2014)
12/5/2015,Colorado,DRUG STORE,1357.328074,14863.62,Away(2015)-Home(2014)
10/17/2015,Colorado,GROCERY,2744.074542,4314.76,Away(2015)-Home(2014)
11/21/2015,Colorado,GROCERY,2098.570459,12196.48,Away(2015)-Home(2014)
12/5/2015,Colorado,GROCERY,2406.822813,29357.89,Away(2015)-Home(2014)
10/17/2015,Colorado,MASS MERCHANDISER,1040.538946,-744,Away(2015)-Home(2014)
11/21/2015,Colorado,MASS MERCHANDISER,851.1866156,-14256.79,Away(2015)-Home(2014)
12/5/2015,Colorado,MASS MERCHANDISER,1329.316123,-1938.54,Away(2015)-Home(2014)
9/12/2015,Louisiana,CONVENIENCE STORE,362.8644097,3245.63,Away(2015)-Home(2014)
9/26/2015,Louisiana,CONVENIENCE STORE,378.0582292,3777.47,Away(2015)-Home(2014)
11/7/2015,Louisiana,CONVENIENCE STORE,368.7164584,-2576.5,Away(2015)-Home(2014)
9/12/2015,Louisiana,GROCERY,1943.670334,-9394.24,Away(2015)-Home(2014)
9/26/2015,Louisiana,GROCERY,1884.685,-5567.6,Away(2015)-Home(2014)
11/7/2015,Louisiana,GROCERY,3775.371167,-6568.71,Away(2015)-Home(2014)
9/12/2015,Louisiana,MASS MERCHANDISER,487.3738021,-714.69,Away(2015)-Home(2014)
9/26/2015,Louisiana,MASS MERCHANDISER,477.7864167,-2366.64,Away(2015)-Home(2014)
11/7/2015,Louisiana,MASS MERCHANDISER,498.3138021,-3231.57,Away(2015)-Home(2014)
9/12/2015,Louisiana,CONVENIENCE STORE,490.4207515,-1726.92,Away(2015)-Home(2014)
9/26/2015,Louisiana,CONVENIENCE STORE,464.6816901,4498.52,Away(2015)-Home(2014)
11/7/2015,Louisiana,CONVENIENCE STORE,430.8866871,-405.33,Away(2015)-Home(2014)
9/12/2015,Louisiana,GROCERY,980.9197037,704.17,Away(2015)-Home(2014)
9/26/2015,Louisiana,GROCERY,979.7543285,-19553.83,Away(2015)-Home(2014)
11/7/2015,Louisiana,GROCERY,2025.063074,-6877.54,Away(2015)-Home(2014)
9/12/2015,Louisiana,MASS MERCHANDISER,474.0282553,-7479.65,Away(2015)-Home(2014)
9/26/2015,Louisiana,MASS MERCHANDISER,469.1087469,-1278.43,Away(2015)-Home(2014)
11/7/2015,Louisiana,MASS MERCHANDISER,497.8294824,13588.74,Away(2015)-Home(2014)
9/12/2015,Louisiana,CONVENIENCE STORE,364.892284,1929.42,Away(2015)-Home(2014)
9/26/2015,Louisiana,CONVENIENCE STORE,369.0169877,467.46,Away(2015)-Home(2014)
11/7/2015,Louisiana,CONVENIENCE STORE,340.1964383,-883.06,Away(2015)-Home(2014)
9/12/2015,Louisiana,GROCERY,1577.423611,-4296.81,Away(2015)-Home(2014)
9/26/2015,Louisiana,GROCERY,1532.741111,-4374.76,Away(2015)-Home(2014)
11/7/2015,Louisiana,GROCERY,3033.013333,-697.14,Away(2015)-Home(2014)
9/12/2015,Louisiana,MASS MERCHANDISER,476.3106129,-1963.87,Away(2015)-Home(2014)
9/26/2015,Louisiana,MASS MERCHANDISER,466.4067366,-5884.58,Away(2015)-Home(2014)
11/7/2015,Louisiana,MASS MERCHANDISER,476.4942527,6263.35,Away(2015)-Home(2014)
9/12/2015,Louisiana,CONVENIENCE STORE,399.5488334,3441.63,Away(2015)-Home(2014)
9/26/2015,Louisiana,CONVENIENCE STORE,405.0725556,-368.22,Away(2015)-Home(2014)
11/7/2015,Louisiana,CONVENIENCE STORE,376.5620556,-850.21,Away(2015)-Home(2014)
9/12/2015,Louisiana,GROCERY,1115.936667,-2493.64,Away(2015)-Home(2014)
9/26/2015,Louisiana,GROCERY,1092.870417,-1324.85,Away(2015)-Home(2014)
11/7/2015,Louisiana,GROCERY,1756.642084,-7568.75,Away(2015)-Home(2014)
9/12/2015,Louisiana,MASS MERCHANDISER,463.5056403,4534.15,Away(2015)-Home(2014)
9/26/2015,Louisiana,MASS MERCHANDISER,459.612246,-953.85,Away(2015)-Home(2014)
11/7/2015,Louisiana,MASS MERCHANDISER,456.9276972,3755.67,Away(2015)-Home(2014)
9/12/2015,Louisiana,CONVENIENCE STORE,392.4581411,3460.93,Away(2015)-Home(2014)
9/26/2015,Louisiana,CONVENIENCE STORE,406.2020086,2379.8,Away(2015)-Home(2014)
11/7/2015,Louisiana,CONVENIENCE STORE,382.8102351,-3198.09,Away(2015)-Home(2014)
9/12/2015,Louisiana,GROCERY,2160.658,-5586.32,Away(2015)-Home(2014)
9/26/2015,Louisiana,GROCERY,2075.9255,-2819.37,Away(2015)-Home(2014)
11/7/2015,Louisiana,GROCERY,4328.863833,6126.87,Away(2015)-Home(2014)
9/12/2015,Louisiana,MASS MERCHANDISER,508.8491693,48584.75,Away(2015)-Home(2014)
9/26/2015,Louisiana,MASS MERCHANDISER,500.1707517,15462.16,Away(2015)-Home(2014)
11/7/2015,Louisiana,MASS MERCHANDISER,501.2507255,22190.99,Away(2015)-Home(2014)
9/5/2015,Alabama,CONVENIENCE STORE,382.5996895,-899.46,Away(2015)-Home(2014)
10/17/2015,Alabama,CONVENIENCE STORE,394.5850596,154.78,Away(2015)-Home(2014)
11/14/2015,Alabama,CONVENIENCE STORE,370.7627679,5898.23,Away(2015)-Home(2014)
11/28/2015,Alabama,CONVENIENCE STORE,388.4420833,1888.74,Away(2015)-Home(2014)
9/5/2015,Alabama,DRUG STORE,309.9800119,1091.65,Away(2015)-Home(2014)
10/17/2015,Alabama,DRUG STORE,365.5052858,1065.55,Away(2015)-Home(2014)
11/14/2015,Alabama,DRUG STORE,305.5193572,360.7,Away(2015)-Home(2014)
11/28/2015,Alabama,DRUG STORE,295.6525397,-1234.43,Away(2015)-Home(2014)
9/5/2015,Alabama,GROCERY,2159.995238,-181.02,Away(2015)-Home(2014)
10/17/2015,Alabama,GROCERY,3035.76631,3711.57,Away(2015)-Home(2014)
11/14/2015,Alabama,GROCERY,2297.008334,8953,Away(2015)-Home(2014)
11/28/2015,Alabama,GROCERY,2329.365357,185.37,Away(2015)-Home(2014)
9/5/2015,Alabama,MASS MERCHANDISER,506.4606378,733.23,Away(2015)-Home(2014)
10/17/2015,Alabama,MASS MERCHANDISER,648.1764031,7.63,Away(2015)-Home(2014)
11/14/2015,Alabama,MASS MERCHANDISER,557.5900765,534.89,Away(2015)-Home(2014)
11/28/2015,Alabama,MASS MERCHANDISER,537.9813521,-2765.49,Away(2015)-Home(2014)
9/5/2015,Alabama,CONVENIENCE STORE,335.7802138,-27727.53,Away(2015)-Home(2014)
10/17/2015,Alabama,CONVENIENCE STORE,335.7529624,4090.64,Away(2015)-Home(2014)
11/14/2015,Alabama,CONVENIENCE STORE,301.5640841,14919.27,Away(2015)-Home(2014)
11/28/2015,Alabama,CONVENIENCE STORE,324.2342484,15006.99,Away(2015)-Home(2014)
9/5/2015,Alabama,DRUG STORE,359.5292866,2252.41,Away(2015)-Home(2014)
10/17/2015,Alabama,DRUG STORE,425.3139022,-16578.82,Away(2015)-Home(2014)
11/14/2015,Alabama,DRUG STORE,357.957078,-10605.75,Away(2015)-Home(2014)
